QuestionText,Values Text,Total,"Age - 18-34
(Millennial)","Age - 35+
(Non-Millennial)",NOY - 0-5,NOY - 6-20,NOY - 21+,Res - Yes,Res - No,Central - Yes,Central - No
Q61. Which of the following statements best characterizes your feelings about Austin's creative culture?,Don't know,0.06,0.08,0.04,0.08,0.07,0.04,0.05,0.06,0.04,0.06
Q62. How many tattoos do you have?,0,0.71,0.63,0.74,0.67,0.71,0.72,0.69,0.72,0.68,0.71
Q62. How many tattoos do you have?,1,0.08,0.11,0.07,0.09,0.08,0.08,0.1,0.07,0.09,0.08
Q62. How many tattoos do you have?,2,0.07,0.08,0.07,0.1,0.06,0.07,0.06,0.08,0.06,0.07
Q62. How many tattoos do you have?,3,0.04,0.07,0.03,0.05,0.03,0.04,0.05,0.03,0.06,0.03
Q62. How many tattoos do you have?,4,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02
Q62. How many tattoos do you have?,5 or more,0.07,0.08,0.07,0.07,0.09,0.06,0.08,0.07,0.08,0.07
Q62. How many tattoos do you have?,Prefer not to answer,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01,0
S1. In which language would you prefer to take this survey?,English/Inglés,0.99,0.98,0.99,1,0.96,0.99,0.97,1,0.98,0.99
S1. In which language would you prefer to take this survey?,Spanish/Español,0.01,0.02,0.01,0,0.04,0.01,0.03,0,0.02,0.01
S2. In which of the following Texas counties do you live?,Travis,0.58,0.66,0.54,0.59,0.55,0.6,1,0.19,0.99,0.46
S2. In which of the following Texas counties do you live?,Williamson,0.24,0.22,0.25,0.22,0.3,0.2,0,0.46,0.01,0.31
S2. In which of the following Texas counties do you live?,Hays,0.11,0.09,0.12,0.12,0.11,0.1,0,0.21,0,0.14
S2. In which of the following Texas counties do you live?,Bastrop,0.05,0.03,0.06,0.03,0.01,0.08,0,0.09,0,0.06
S2. In which of the following Texas counties do you live?,Caldwell,0.03,0.01,0.03,0.04,0.02,0.02,0,0.05,0,0.03
S3. What is your zip code? (Responses netted),Central Austin,0.23,0.35,0.17,0.3,0.2,0.21,0.45,0.02,1,0
S3. What is your zip code? (Responses netted),Not Central Austin,0.77,0.65,0.83,0.7,0.8,0.79,0.55,0.98,0,1
S4. Do you live in the City of Austin?,Yes,0.48,0.6,0.42,0.52,0.46,0.49,1,0,0.96,0.34
S4. Do you live in the City of Austin?,No,0.52,0.4,0.58,0.48,0.54,0.51,0,1,0.04,0.66
S5. What is your gender?,Male,0.5,0.4,0.55,0.46,0.57,0.47,0.49,0.51,0.57,0.48
S5. What is your gender?,Female,0.5,0.6,0.45,0.54,0.43,0.53,0.51,0.49,0.43,0.52
S6. What is your age? (Generational netted categories reported.),18-34,0.35,1,0,0.58,0.29,0.28,0.43,0.27,0.53,0.3
S6. What is your age? (Generational netted categories reported.),35-44,0.2,0,0.3,0.16,0.25,0.17,0.21,0.18,0.17,0.2
S6. What is your age? (Generational netted categories reported.),45-64,0.34,0,0.52,0.22,0.34,0.4,0.29,0.39,0.26,0.37
S6. What is your age? (Generational netted categories reported.),65+ years,0.12,0,0.18,0.04,0.11,0.15,0.07,0.16,0.04,0.14
S7. Which of the following income groups includes your estimated total household income last year before taxes?,"Up to $25,000",0.19,0.31,0.13,0.27,0.16,0.18,0.22,0.17,0.29,0.17
S7. Which of the following income groups includes your estimated total household income last year before taxes?,"$25,000 - $49,999",0.24,0.28,0.21,0.23,0.21,0.25,0.25,0.22,0.2,0.24
S7. Which of the following income groups includes your estimated total household income last year before taxes?,"$50,000 - $99,999",0.31,0.24,0.34,0.3,0.29,0.32,0.3,0.31,0.27,0.32
S7. Which of the following income groups includes your estimated total household income last year before taxes?,"$100,000 - $199,999",0.21,0.13,0.25,0.16,0.29,0.18,0.17,0.24,0.13,0.23
S7. Which of the following income groups includes your estimated total household income last year before taxes?,"$200,000 or more",0.06,0.04,0.07,0.04,0.06,0.07,0.06,0.06,0.11,0.04
"S8. Are you of Hispanic, Latino or Spanish origin?","No, not of Hispanic, Latino, or Spanish origin",0.68,0.57,0.74,0.72,0.69,0.66,0.66,0.7,0.61,0.7
"S8. Are you of Hispanic, Latino or Spanish origin?","Yes, Mexican, Mexican American, Chicano",0.23,0.32,0.18,0.22,0.19,0.25,0.21,0.24,0.27,0.22
"S8. Are you of Hispanic, Latino or Spanish origin?","Yes, Puerto Rican",0.02,0.02,0.02,0.01,0.04,0.01,0.03,0.01,0.02,0.02
"S8. Are you of Hispanic, Latino or Spanish origin?","Yes, Cuban",0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01
"S8. Are you of Hispanic, Latino or Spanish origin?","Yes, another Hispanic, Latino, or Spanish origin",0.06,0.09,0.05,0.04,0.07,0.07,0.09,0.04,0.1,0.05
S9. What is your race? (Please select all that apply.),White,0.79,0.7,0.84,0.79,0.78,0.8,0.74,0.83,0.77,0.8
S9. What is your race? (Please select all that apply.),"Black, African American",0.07,0.11,0.06,0.08,0.07,0.07,0.09,0.06,0.06,0.08
S9. What is your race? (Please select all that apply.),American Indian or Alaska Native,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01
S9. What is your race? (Please select all that apply.),Asian,0.05,0.09,0.03,0.09,0.06,0.03,0.06,0.04,0.06,0.05
S9. What is your race? (Please select all that apply.),Native Hawaiian/Other Pacific Islander,0.01,0.01,0.01,0,0.02,0.01,0.02,0,0.01,0.01
S9. What is your race? (Please select all that apply.),Other,0.07,0.11,0.05,0.04,0.07,0.09,0.08,0.06,0.1,0.07
S10. Do you have any children under age 18 currently living in your household?,Yes,0.31,0.36,0.28,0.23,0.32,0.33,0.28,0.34,0.2,0.34
S10. Do you have any children under age 18 currently living in your household?,No,0.69,0.64,0.72,0.77,0.68,0.67,0.72,0.66,0.8,0.66
S11. How many children under 18 do you have living at home?,1,0.49,0.48,0.5,0.39,0.49,0.52,0.51,0.47,0.44,0.5
S11. How many children under 18 do you have living at home?,2,0.32,0.3,0.33,0.3,0.26,0.36,0.36,0.28,0.37,0.31
S11. How many children under 18 do you have living at home?,3,0.15,0.19,0.12,0.24,0.18,0.1,0.1,0.18,0.14,0.15
S11. How many children under 18 do you have living at home?,4,0.03,0.03,0.03,0.02,0.06,0.01,0.01,0.04,0,0.03
S11. How many children under 18 do you have living at home?,5 or more,0.02,0,0.03,0.05,0.02,0.01,0.02,0.02,0.05,0.02
D1. Were you raised in the Austin area?,Yes,0.29,0.38,0.24,0,0,0.59,0.32,0.25,0.29,0.29
D1. Were you raised in the Austin area?,No,0.71,0.62,0.76,1,1,0.41,0.68,0.75,0.71,0.71
"D2. In what year did you move to the Austin area? (Reported as number of years in Austin netted, including the life span of those raised in Austin D1.)",0-5 years,0.21,0.35,0.14,1,0,0,0.23,0.2,0.28,0.19
"D2. In what year did you move to the Austin area? (Reported as number of years in Austin netted, including the life span of those raised in Austin D1.)",6-20 years,0.3,0.26,0.33,0,1,0,0.28,0.32,0.27,0.31
"D2. In what year did you move to the Austin area? (Reported as number of years in Austin netted, including the life span of those raised in Austin D1.)",21+ years,0.49,0.39,0.54,0,0,1,0.49,0.48,0.45,0.5
D3. What is the last grade of school you completed? (Responses netted),High school grad or less,0.16,0.18,0.15,0.06,0.16,0.2,0.11,0.21,0.08,0.18
D3. What is the last grade of school you completed? (Responses netted),Some college,0.43,0.47,0.41,0.52,0.31,0.47,0.41,0.45,0.45,0.42
D3. What is the last grade of school you completed? (Responses netted),College+,0.41,0.35,0.44,0.41,0.53,0.33,0.48,0.34,0.45,0.39
D3. What is the last grade of school you completed? (Responses netted),Prefer not to answer,0,0.01,0,0.01,0,0,0,0,0.01,0
D4. Which of the following best describes your current employment status?,Employed full time,0.48,0.48,0.47,0.35,0.59,0.46,0.58,0.38,0.53,0.46
D4. Which of the following best describes your current employment status?,Employed part time,0.1,0.16,0.08,0.15,0.1,0.09,0.11,0.1,0.11,0.1
D4. Which of the following best describes your current employment status?,"Under-employed given my skills, but working full time",0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01
D4. Which of the following best describes your current employment status?,"Under-employed given my skills, working part time",0.02,0.02,0.02,0.04,0.01,0.01,0.02,0.02,0.02,0.01
D4. Which of the following best describes your current employment status?,Full-time homemaker,0.07,0.1,0.06,0.09,0.06,0.07,0.04,0.1,0.05,0.08
D4. Which of the following best describes your current employment status?,Student,0.06,0.15,0.01,0.15,0.02,0.05,0.07,0.06,0.09,0.05
D4. Which of the following best describes your current employment status?,Retired,0.16,0,0.25,0.1,0.14,0.2,0.08,0.24,0.07,0.19
D4. Which of the following best describes your current employment status?,Unemployed,0.07,0.08,0.07,0.08,0.05,0.09,0.08,0.07,0.08,0.07
D4. Which of the following best describes your current employment status?,Other,0.03,0.01,0.04,0.03,0.03,0.03,0.02,0.03,0.04,0.03
D5. In which sector have you primarily worked over the course of your career?,Technology,0.14,0.1,0.16,0.12,0.17,0.13,0.13,0.15,0.12,0.15
D5. In which sector have you primarily worked over the course of your career?,Education,0.13,0.16,0.12,0.15,0.13,0.13,0.13,0.15,0.13,0.14
D5. In which sector have you primarily worked over the course of your career?,"Service industry (hotels, retail, restaurants, bars)",0.11,0.23,0.04,0.18,0.1,0.1,0.12,0.1,0.17,0.09
D5. In which sector have you primarily worked over the course of your career?,"Federal, state or local government",0.1,0.04,0.14,0.09,0.12,0.09,0.08,0.13,0.07,0.11
D5. In which sector have you primarily worked over the course of your career?,Healthcare/Medicine,0.09,0.09,0.1,0.14,0.07,0.09,0.12,0.05,0.15,0.07
D5. In which sector have you primarily worked over the course of your career?,Accounting and Finance,0.05,0.04,0.05,0.03,0.02,0.08,0.05,0.05,0.05,0.05
D5. In which sector have you primarily worked over the course of your career?,Real estate,0.03,0.05,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03
D5. In which sector have you primarily worked over the course of your career?,"Creative (design, fashion, art, music, writing)",0.03,0.04,0.02,0.03,0.01,0.03,0.03,0.02,0.07,0.01
D5. In which sector have you primarily worked over the course of your career?,Law/Legal Services,0.03,0.02,0.03,0.02,0.01,0.04,0.03,0.02,0.02,0.03
D5. In which sector have you primarily worked over the course of your career?,Transportation,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.01,0.03
D5. In which sector have you primarily worked over the course of your career?,Consulting,0.02,0,0.03,0.02,0.02,0.01,0.02,0.01,0.03,0.01
D5. In which sector have you primarily worked over the course of your career?,Entrepreneurial/Business Owner,0.01,0,0.02,0,0.01,0.02,0.02,0.01,0.01,0.02
D5. In which sector have you primarily worked over the course of your career?,Communications,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0,0.02
D5. In which sector have you primarily worked over the course of your career?,Energy or Utilities,0.01,0,0.02,0.01,0.02,0,0.01,0.01,0.01,0.01
D5. In which sector have you primarily worked over the course of your career?,Entertainment/Festivals,0.01,0,0.01,0,0.01,0.01,0.01,0,0.02,0.01
D5. In which sector have you primarily worked over the course of your career?,Farming or Agriculture,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0.02,0.01
D5. In which sector have you primarily worked over the course of your career?,Public Relations/Public Affairs,0,0,0.01,0,0,0.01,0,0.01,0,0.01
D5. In which sector have you primarily worked over the course of your career?,None of these,0.19,0.19,0.18,0.14,0.23,0.17,0.14,0.25,0.09,0.22
D6. Have you voted in the last 4 years?,Yes,0.73,0.52,0.84,0.57,0.81,0.74,0.75,0.71,0.75,0.72
D6. Have you voted in the last 4 years?,No,0.27,0.48,0.15,0.42,0.19,0.24,0.25,0.28,0.24,0.27
D6. Have you voted in the last 4 years?,Don't know,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01
"D7. Generally speaking, which of the following best describes your political party affiliation?",Democrat,0.45,0.41,0.47,0.38,0.46,0.47,0.57,0.33,0.63,0.39
"D7. Generally speaking, which of the following best describes your political party affiliation?",Republican,0.29,0.26,0.31,0.33,0.32,0.25,0.2,0.38,0.15,0.33
"D7. Generally speaking, which of the following best describes your political party affiliation?",Independent,0.08,0.05,0.09,0.05,0.09,0.08,0.07,0.08,0.05,0.08
"D7. Generally speaking, which of the following best describes your political party affiliation?",Other/Don't know/ Prefer not to answer,0.19,0.29,0.14,0.23,0.13,0.21,0.16,0.21,0.16,0.19
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),Austin Community College,0.24,0.25,0.23,0.08,0.14,0.36,0.29,0.19,0.29,0.22
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),The University of Texas at Austin,0.16,0.17,0.16,0.13,0.12,0.21,0.23,0.1,0.26,0.14
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),St. Edwards University,0.03,0.03,0.03,0,0.02,0.04,0.04,0.02,0.04,0.02
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),Concordia University Texas,0.02,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.01,0.02
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),Acton School of Business (Hardin-Simmons University),0.01,0.01,0.01,0,0.01,0.02,0,0.02,0,0.01
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),Huston-Tillotson University,0.01,0,0.01,0,0,0.01,0.01,0.01,0,0.01
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),Texas Health and Science University,0.01,0,0.01,0,0,0.01,0,0.01,0,0.01
D8. Did you or do you attend any of the following universities or colleges located in Austin? (Select all that apply.),None of the above,0.62,0.57,0.64,0.79,0.74,0.46,0.52,0.7,0.46,0.66
D9. Which of the following best describes your marital status?,Married,0.48,0.25,0.61,0.41,0.54,0.48,0.36,0.6,0.26,0.55
D9. Which of the following best describes your marital status?,"Single, never married",0.29,0.52,0.17,0.35,0.26,0.29,0.39,0.2,0.52,0.23
D9. Which of the following best describes your marital status?,Single and living with a partner,0.11,0.2,0.06,0.17,0.07,0.11,0.14,0.08,0.13,0.1
D9. Which of the following best describes your marital status?,Divorced,0.07,0.01,0.11,0.04,0.07,0.09,0.08,0.06,0.07,0.07
D9. Which of the following best describes your marital status?,Widowed,0.03,0,0.04,0.01,0.05,0.03,0.01,0.05,0.01,0.03
D9. Which of the following best describes your marital status?,Separated,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01
D9. Which of the following best describes your marital status?,Prefer not to answer,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0.01
D10. Do you own or rent your current place of residence?,Own,0.57,0.27,0.73,0.29,0.63,0.65,0.45,0.68,0.37,0.63
D10. Do you own or rent your current place of residence?,Rent,0.41,0.68,0.27,0.68,0.35,0.33,0.53,0.3,0.62,0.35
D10. Do you own or rent your current place of residence?,Don't know,0.01,0.03,0,0.01,0.01,0.02,0,0.02,0.01,0.01
D10. Do you own or rent your current place of residence?,Prefer not to answer,0.01,0.02,0,0.02,0.01,0,0.01,0.01,0.01,0.01
"D11/12. How many languages, besides English or Spanish, are spoken in your home on a daily basis?","None, just English/Spanish",0.73,0.68,0.76,0.7,0.73,0.75,0.74,0.72,0.75,0.73
"D11/12. How many languages, besides English or Spanish, are spoken in your home on a daily basis?",1,0.2,0.23,0.19,0.19,0.2,0.21,0.2,0.21,0.19,0.21
"D11/12. How many languages, besides English or Spanish, are spoken in your home on a daily basis?",2,0.06,0.08,0.05,0.1,0.06,0.04,0.05,0.07,0.05,0.06
"D11/12. How many languages, besides English or Spanish, are spoken in your home on a daily basis?",3 or more,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01
D13. Through which method do you get the majority of your news?,Online,0.45,0.57,0.39,0.54,0.49,0.39,0.51,0.4,0.55,0.42
D13. Through which method do you get the majority of your news?,TV,0.4,0.29,0.46,0.29,0.35,0.48,0.33,0.47,0.27,0.44
D13. Through which method do you get the majority of your news?,Radio,0.05,0.07,0.04,0.08,0.05,0.04,0.06,0.04,0.06,0.05
D13. Through which method do you get the majority of your news?,Print,0.05,0.01,0.07,0.03,0.05,0.06,0.05,0.05,0.07,0.04
D13. Through which method do you get the majority of your news?,I don't keep up with news,0.04,0.07,0.03,0.07,0.05,0.03,0.04,0.05,0.05,0.04
D13. Through which method do you get the majority of your news?,Other,0,0,0.01,0,0.01,0,0.01,0,0.01,0
